occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
4120,0.9232915222740978,1086990.3311,0.8494017801793653,"Food servers, nonrestaurant",62,88.38095238095238,30,94.47619047619048
710,0.9142615424177647,5544794.0581,0.1648864742022626,Management analysts,63,88.19047619047619,392,25.523809523809526
110,0.9054174477420597,4130294.0414,0.21921379898540114,Computer and information systems managers,64,88.0,330,37.33333333333333
3645,0.9011953016013899,3444699.5074,0.2616179726752412,Medical assistants,65,87.80952380952381,282,46.47619047619047
4350,0.8876573544121775,1618116.5775000001,0.5485744146961361,Animal caretakers,66,87.61904761904762,88,83.42857142857143
5840,0.8857958144338042,1511866.6492,0.585895465650043,Insurance claims and policy processing clerks,67,87.42857142857143,81,84.76190476190476
3090,0.884856364146763,4815208.1555,0.18376284795415695,Other physicians,68,87.23809523809524,369,29.9047619047619
910,0.8677836560301794,2187662.1892,0.3966716892188536,Credit counselors and loan officers,69,87.04761904761905,174,67.04761904761905
2330,0.8657605783073504,2086666.8141,0.4149012062957264,Special education teachers,70,86.85714285714286,158,70.0952380952381
2145,0.8622414081474279,2280492.8068,0.3780943336354259,Paralegals and legal assistants,71,86.66666666666667,184,65.14285714285715
2002,0.8499589936184591,2009963.2789,0.4228728965056611,"Educational, guidance, and career counselors and advisors",72,86.47619047619047,156,70.47619047619047
3500,0.8488066249738458,3143605.5179000003,0.2700105404894657,Licensed practical and licensed vocational nurses,73,86.28571428571429,272,48.38095238095238
2205,0.8401022152922196,5693962.5991,0.1475426297013275,Postsecondary teachers,74,86.09523809523809,417,20.76190476190476
5420,0.8358909964230504,570394.4296,1.4654613597984028,"Information and record clerks, all other",75,85.90476190476191,3,99.61904761904762
4510,0.8172314201488415,3814053.562,0.21426846971711236,"Hairdressers, hairstylists, and cosmetologists",76,85.71428571428572,332,36.95238095238095
3421,0.8102021134168808,2147192.8382,0.3773308568298301,Pharmacy technicians,77,85.52380952380952,185,64.95238095238095
7200,0.8032990898964204,4850593.0763,0.16560842710581933,Automotive service technicians and mechanics,78,85.33333333333333,390,25.90476190476191
735,0.801830520843035,2615314.5456999997,0.3065904719420362,Market research analysts and marketing specialists,79,85.14285714285714,240,54.47619047619048
520,0.7932097981450358,994934.6166,0.7972481657696057,"Wholesale and retail buyers, except farm products",80,84.95238095238096,39,92.76190476190476
3655,0.7928030742177397,1099551.1215000001,0.7210242968386983,Other healthcare support workers,81,84.76190476190476,55,89.71428571428571
5522,0.7791368872849556,1073051.9514000001,0.726094283010644,"Dispatchers, except police, fire, and ambulance",82,84.57142857142857,54,89.90476190476191
2555,0.7766975190933852,1015463.7055,0.7648697977944473,Other educational instruction and library workers,83,84.38095238095238,48,91.04761904761904
4130,0.7754105308826947,1421462.803,0.5455018092954591,Dining room and cafeteria attendants and bartender helpers,84,84.19047619047619,89,83.23809523809524
540,0.7698520351622353,1890320.4147,0.4072600756863822,"Claims adjusters, appraisers, examiners, and investigators",85,84.0,163,69.14285714285715
4435,0.7585411209677381,975685.4295,0.7774443463365649,Other entertainment attendants and related workers,86,83.80952380952381,46,91.42857142857143
3515,0.7312612129296184,1127235.9008,0.6487206559076427,Medical records specialists,87,83.61904761904762,67,87.42857142857143
5165,0.7304358310214628,729188.5529,1.0017105015108951,"Financial clerks, all other",88,83.42857142857143,15,97.33333333333334
