occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
3648,0.002168274161528908,217,0.5877862595419847,0.16571311964143032,Veterinary assistants and laboratory animal caretakers,370103.3685
3647,0.0021567011393018674,218,0.5858778625954199,0.1647797576462523,Pharmacy aides,195141.6758
9365,0.002156615420218599,219,0.583969465648855,0.164772844418833,Transportation service attendants,412420.6503
3649,0.002148255128661236,220,0.58206106870229,0.16409858852826556,Phlebotomists,704178.7231999999
4140,0.0021005617116702903,221,0.5801526717557253,0.16025212370980915,Dishwashers,1281825.4832000001
4420,0.002073403207508019,222,0.5782442748091603,0.15806179562319062,"Ushers, lobby attendants, and ticket takers",104241.1691
3422,0.0020642648158179806,223,0.5763358778625954,0.1573247861080267,Psychiatric technicians,640471.3225
3250,0.0020633280785198114,224,0.5744274809160306,0.15724923842683985,Veterinarians,472598.9837
3520,0.002059270767064945,225,0.5725190839694656,0.1569220170459179,"Opticians, dispensing",228616.5576
4640,0.002039890754463115,226,0.5706106870229007,0.1553590227930982,Residential advisors,171327.8621
1050,0.002036061810287238,227,0.5687022900763359,0.15505021918887876,Computer support specialists,3957470.7133
2050,0.002031079556250946,228,0.5667938931297709,0.15464840136838487,"Directors, religious activities and education",360585.00179999997
7340,0.002021893563957122,229,0.5648854961832062,0.15390755287376948,"Maintenance and repair workers, general",3651144.9961
5900,0.0020145413350086045,230,0.5629770992366412,0.15331459703684383,"Office machine operators, except computer",149175.16760000002
9122,0.002012821300438619,231,0.5610687022900763,0.15317587658279808,"Bus drivers, transit and intercity",1227757.2577
1010,0.0020082796821170113,232,0.5591603053435115,0.15280959594712382,Computer programmers,2364149.5987
6330,0.002001606153781241,233,0.5572519083969465,0.15227137718281542,"Drywall installers, ceiling tile installers, and tapers",946335.2331
4000,0.001996013139509478,234,0.5553435114503817,0.15182030166793783,Chefs and head cooks,2628441.3504999997
820,0.0019941735514051925,235,0.5534351145038168,0.15167193924456757,Budget analysts,302807.6354
3870,0.0019864984503019426,236,0.5515267175572519,0.1510529438310632,Police officers,3920655.0377
3030,0.0019825060585459053,237,0.549618320610687,0.1507309582112447,Dietitians and nutritionists,680362.3966
5560,0.0019818246510885794,238,0.5477099236641221,0.15067600283213786,"Postal service mail sorters, processors, and processing machine operators",324555.98480000003
2060,0.001978130579502313,239,0.5458015267175573,0.15037807667607883,"Religious workers, all other",382425.4286
1555,0.0019614016038547715,240,0.5438931297709924,0.14902888803880215,"Other engineering technologists and technicians, except drafters",1948442.261
140,0.0019518104961563116,241,0.5419847328244275,0.1482553670654746,Industrial production managers,1680232.5053
2015,0.001950166118456024,242,0.5400763358778626,0.1481227483232777,Probation officers and correctional treatment specialists,426046.0517
1825,0.0019366040389877345,243,0.5381679389312977,0.14702896924785963,Other psychologists,699031.5829
2170,0.001931703564650473,244,0.5362595419847328,0.14663374694421125,"Title examiners, abstractors, and searchers",499397.6867
1240,0.0019179561918147424,245,0.5343511450381679,0.14552502399469225,Other mathematical science occupations,1947241.916
8950,0.0019143668962321243,246,0.5324427480916031,0.14523554800298039,Helpers--production workers,296525.1606
5500,0.0019072087304852676,247,0.5305343511450382,0.14465824332558241,Cargo and freight agents,120117.1052
2635,0.0019064225219054675,248,0.5286259541984732,0.14459483575629997,Interior designers,598522.9144
3255,0.0018997476529203391,249,0.5267175572519084,0.14405650886888122,Registered nurses,19085648.5968
4340,0.0018994214812401338,250,0.5248091603053435,0.14403020318621382,Animal trainers,434387.7832
2105,0.0018991932254298612,251,0.5229007633587786,0.14401179439944164,Judicial law clerks,121878.8743
7640,0.0018768583101084898,252,0.5209923664122138,0.14221048781612078,"Other installation, maintenance, and repair workers",1097960.7725
9142,0.0018592728794608548,253,0.5190839694656488,0.14079222624940657,Taxi drivers,2338720.3328
4252,0.0018530809855182304,254,0.517175572519084,0.140292851205374,Tree trimmers and pruners,541354.9014
1360,0.001846854094396393,255,0.5152671755725191,0.13979065364563417,Civil engineers,2453907.5227
